start_loc,end_loc,distance_km
felixstowe (united kingdom),exeter (united kingdom),474
felixstowe (united kingdom),cardiff (united kingdom),304
felixstowe (united kingdom),birmingham (united kingdom),265
felixstowe (united kingdom),london (united kingdom),152
felixstowe (united kingdom),bristol (united kingdom),350
felixstowe (united kingdom),southampton (united kingdom),292
felixstowe (united kingdom),plymouth (united kingdom),542
felixstowe (united kingdom),manchester (united kingdom),397
felixstowe (united kingdom),swansea (united kingdom),460
felixstowe (united kingdom),liverpool (united kingdom),415
felixstowe (united kingdom),sheffield (united kingdom),311
felixstowe (united kingdom),leeds (united kingdom),352
felixstowe (united kingdom),york (united kingdom),366
felixstowe (united kingdom),cambridge (united kingdom),111
felixstowe (united kingdom),oxford (united kingdom),249
felixstowe (united kingdom),truro (united kingdom),620
felixstowe (united kingdom),norwich (united kingdom),96
felixstowe (united kingdom),edinburgh (united kingdom),675
felixstowe (united kingdom),glasgow (united kingdom),678
felixstowe (united kingdom),bradford (united kingdom),362
felixstowe (united kingdom),leicester (united kingdom),226
felixstowe (united kingdom),coventry (united kingdom),239
felixstowe (united kingdom),wakefield (united kingdom),331
felixstowe (united kingdom),nottingham (united kingdom),253
felixstowe (united kingdom),newcastle upon tyne (united kingdom),482
felixstowe (united kingdom),brighton (united kingdom),219
felixstowe (united kingdom),wolverhampton (united kingdom),285
felixstowe (united kingdom),derby (united kingdom),284
felixstowe (united kingdom),aberdeen (united kingdom),893
felixstowe (united kingdom),portsmouth (united kingdom),274
felixstowe (united kingdom),lancaster (united kingdom),464
felixstowe (united kingdom),durham (united kingdom),460
felixstowe (united kingdom),bath (united kingdom),349
felixstowe (united kingdom),inverness (united kingdom),929
felixstowe (united kingdom),aberystwyth (united kingdom),455
felixstowe (united kingdom),andover (united kingdom),284
felixstowe (united kingdom),bangor (united kingdom),502
felixstowe (united kingdom),bolton (united kingdom),414
felixstowe (united kingdom),aberdare (united kingdom),431
shenzhen (china),shanghai (china),1508
ningbo (china),shanghai (china),220
qingdao (china),shanghai (china),702
guangzhou (china),shanghai (china),1477
hangzhou (china),shanghai (china),176
tianjin (china),shanghai (china),1083
xichang (china),shanghai (china),2398
felixstowe (united kingdom),bracknell (united kingdom),220.0
