name,country
Durres,Albania
Shengjin,Albania
Vlores,Albania
Dellys,Algeria
Bejaia,Algeria
Oran,Algeria
Mostaganem,Algeria
Beni Saf,Algeria
Arzew,Algeria
Port Methanier,Algeria
Mers El Kebir,Algeria
Arzew El Djedid,Algeria
Skikda,Algeria
Collo,Algeria
Ghazaouet,Algeria
Alger,Algeria
Tenes,Algeria
Djen-Djen,Algeria
Jijel,Algeria
Annaba,Algeria
Pago Pago Harbor,American Samoa
Estrela Oil Field,Angola
Kizomba A Terminal,Angola
Cabinda,Angola
Kizomba C Terminal,Angola
Porto Amboim,Angola
Palanca Terminal,Angola
Greater Plutonio Terminal,Angola
Kizomba B Terminal,Angola
Psvm Terminal,Angola
Futila Terminal,Angola
Lobito,Angola
Kuito Oil Field,Angola
Girassol Terminal,Angola
Dalia Terminal,Angola
Porto Do Ambriz,Angola
Soyo Angola Lng Terminal,Angola
Malongo Oil Terminal,Angola
Sumbe,Angola
Luanda,Angola
Namibe,Angola
Takula Terminal,Angola
Mcmurdo Station,Antarctica
Admiralty Bay,Antarctica
Melchior Harbor,Antarctica
Port Lockroy,Antarctica
Port Foster,Antarctica
Scotia Bay,Antarctica
Ellefsen Harbor,Antarctica
Andersen Harbor,Antarctica
St Johns,Antigua and Barbuda
Quequen,Argentina
Villa Constitucion,Argentina
Diamante,Argentina
Concordia,Argentina
Campana,Argentina
Zarate,Argentina
Puerto San Julian,Argentina
Puerto Belgrano,Argentina
San Blas,Argentina
San Lorenzo,Argentina
Colon,Argentina
Parana,Argentina
Concepcion Del Uruguay,Argentina
Puerto Deseado,Argentina
Ushuaia,Argentina
Puerto Madryn,Argentina
Puerto Gallegos,Argentina
Puerto Galvan,Argentina
Villa Constitucion,Argentina
Puerto Nacional,Argentina
San Nicolas,Argentina
San Sebastian Bay,Argentina
Mar Del Plata,Argentina
La Plata,Argentina
Buenos Aires,Argentina
Puerto Santa Cruz,Argentina
Rio Grande,Argentina
Ramallo,Argentina
Bahia Blanca,Argentina
Puerto Ibicuy,Argentina
Rosario,Argentina
Puerto Ingeniero White,Argentina
Puerto San Martin,Argentina
San Pedro,Argentina
Comodoro Rivadavia,Argentina
Puerto Rosales,Argentina
Santa Fe,Argentina
Paarden Baai -,Aruba
Sint Nicolaas Baai,Aruba
Kingscote,Australia
Jervis Bay,Australia
Eden,Australia
Gove,Australia
Batemans Bay,Australia
Esperance,Australia
Mackay,Australia
Bundaberg,Australia
Ballina,Australia
Mourilyan Harbour,Australia
Thevenard,Australia
Cairns,Australia
Hay Point,Australia
Burnie,Australia
Port Hedland,Australia
Milner Bay,Australia
Port Pirie,Australia
Darwin,Australia
Cape Cuvier,Australia
Port Bonython,Australia
Port Latta,Australia
Dover,Australia
Stanley,Australia
Port Huon,Australia
Newcastle,Australia
Port Alma,Australia
Port Walcott,Australia
Wyndham,Australia
Sydney,Australia
