start_loc,end_loc,distance_km
shanghai (china),felixstowe (united kingdom),19491.931
shanghai (china),london (united kingdom),19527.523
hamburg (germany),felixstowe (united kingdom),688.033
hamburg (germany),london (united kingdom),773.600
rotterdam (netherlands),felixstowe (united kingdom),237.804
rotterdam (netherlands),london (united kingdom),318.001
bergen (norway),felixstowe (united kingdom),1045.275
bergen(norway),london (united kingdom),1144.662
los angeles (united states),felixstowe (united kingdom),14422.041
los angeles (united states),london (united kingdom),14457.634
singapore (singapore),felixstowe (united kingdom),15389.893
singapore (singapore),london (united kingdom),15425.486
wake island,felixstowe (united kingdom),21246.7227218579
shanghai (china),aberystwyth (united kingdom),19299.771590169392
qingdao gang (china),felixstowe (united kingdom),20008.24029376797
qingdao gang (china),london (united kingdom),20043.83316833775
durres (albania),felixstowe (united kingdom),4911.308107891459
