product,category,electricity,water,gas,component_1,manu_year_1,mass_kg_1,no_uses_1,biogenic_1,manu_loc_1,debark_port_1,depart_loc_uk_1,reprocessing_1,recycle_1,incinerate_1,landfill_1,component_2,manu_year_2,mass_kg_2,no_uses_2,biogenic_2,manu_loc_2,debark_port_2,depart_loc_uk_2,reprocessing_2,recycle_2,incinerate_2,landfill_2,component_3,manu_year_3,mass_kg_3,no_uses_3,biogenic_3,manu_loc_3,debark_port_3,depart_loc_uk_3,reprocessing_3,recycle_3,incinerate_3,landfill_3,component_4,manu_year_4,mass_kg_4,no_uses_4,biogenic_4,manu_loc_4,debark_port_4,depart_loc_uk_4,reprocessing_4,recycle_4,incinerate_4,landfill_4,component_5,manu_year_5,mass_kg_5,no_uses_5,biogenic_5,manu_loc_5,debark_port_5,depart_loc_uk_5,reprocessing_5,recycle_5,incinerate_5,landfill_5,component_6,manu_year_6,mass_kg_6,no_uses_6,biogenic_6,manu_loc_6,debark_port_6,depart_loc_uk_6,reprocessing_6,recycle_6,incinerate_6,landfill_6,manufacture_emissions,transport_emissions,use_emissions,reprocessing_emissions,disposal_emissions,total_emissions
patient gown,patient essentials,0,0,0,cotton,2022,0.148,100,1,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,polyester,2022,0.148,100,0,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,weaving polyester,2022,0.148,100,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.026372371600000003,0.00114047912022792,0.0,0.150368,-0.002431766237468776,0.17544908448275914
patient name band,patient essentials,0,0,0,pvc,2022,0.003,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.003,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.013384199999999999,0.0011558910002310002,0.0,0.0,0.004319361482098252,0.01885945248232925
tape for wedding ring,patient essentials,0,0,0,viscose,2022,0.0005,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,acrylic adhesive,2022,0.0005,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0023706499999999998,0.00038529700007700003,0.0,0.0,0.00045134463363863446,0.0032072916337156344
blanket,patient essentials,0,0,0,polyester,2022,1.305,100,0,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,weaving polyester,2022,1.305,100,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0810035685,0.0050281258510048495,0.0,0.66294,0.000277704,0.7492493983510049
sheet,patient essentials,0,0,0,cotton,2022,0.4010999999999999,100,1,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,polyester,2022,0.1718999999999999,100,0,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,weaving polyester,2022,0.1718999999999999,100,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.05724585722999999,0.0022077518104412094,0.0,0.2910839999999999,-0.0066391888805994986,0.34389842015984157
pillow,patient essentials,0,0,0,polyester,2022,0.455,100,0,shanghai (china),shanghai (china),felixstowe,wipe clean,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.025598300000000004,0.00175310135035035,0.0,0.0,0.010517593150707744,0.0378689945010581
pillow case,patient essentials,0,0,0,cotton,2022,0.0832999999999999,100,1,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,polyester,2022,0.0356999999999999,100,0,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,weaving polyester,2022,0.0356999999999999,100,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.011888755689999982,0.0004585034300916293,0.0,0.060451999999999895,-0.0013788193312239785,0.07142043978886753
thrombo–embolus deterrents,patient essentials,0,0,0,polyester,2022,0.035,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,polyurethane,2022,0.006,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.003,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.041,1,0,shanghai (china),0,0,0,0,0,0,blow moulding,2022,0.003,1,0,shanghai (china),0,0,0,0,0,0,paper,2022,0.04,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,0.39817270000000005,0.032364948006468,0.0,0.0,0.10445472915903414,0.5349923771655022
tape measure,patient essentials,0,0,0,paper,2022,0.001,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.005,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.005,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.026739299999999997,0.0023117820004620003,0.0,0.0,0.01583239748542881,0.044883479485890804
wheelchair,patient essentials,0,0,0,steel,2022,23.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,working with steel,2022,23.0,10000,0,shanghai (china),0,0,0,0,0,0,polypropylene,2022,2.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,rubber,2022,2.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,2.5,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.011595115,0.0010595667502117498,0.0,0.0,4.8944e-05,0.01270362575021175
