product,category,electricity,water,gas,component_1,manu_year_1,mass_kg_1,no_uses_1,biogenic_1,manu_loc_1,debark_port_1,depart_loc_uk_1,reprocessing_1,recycle_1,incinerate_1,landfill_1,component_2,manu_year_2,mass_kg_2,no_uses_2,biogenic_2,manu_loc_2,debark_port_2,depart_loc_uk_2,reprocessing_2,recycle_2,incinerate_2,landfill_2,component_3,manu_year_3,mass_kg_3,no_uses_3,biogenic_3,manu_loc_3,debark_port_3,depart_loc_uk_3,reprocessing_3,recycle_3,incinerate_3,landfill_3,component_4,manu_year_4,mass_kg_4,no_uses_4,biogenic_4,manu_loc_4,debark_port_4,depart_loc_uk_4,reprocessing_4,recycle_4,incinerate_4,landfill_4,component_5,manu_year_5,mass_kg_5,no_uses_5,biogenic_5,manu_loc_5,debark_port_5,depart_loc_uk_5,reprocessing_5,recycle_5,incinerate_5,landfill_5,component_6,manu_year_6,mass_kg_6,no_uses_6,biogenic_6,manu_loc_6,debark_port_6,depart_loc_uk_6,reprocessing_6,recycle_6,incinerate_6,landfill_6
patient gown,patient essentials,0,0,0,cotton,2022,0.148,100,1,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,polyester,2022,0.148,100,0,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,weaving polyester,2022,0.148,100,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
patient name band,patient essentials,0,0,0,pvc,2022,0.003,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.003,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
tape for wedding ring,patient essentials,0,0,0,viscose,2022,0.0005,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,acrylic adhesive,2022,0.0005,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
blanket,patient essentials,0,0,0,polyester,2022,1.305,100,0,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,weaving polyester,2022,1.305,100,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
sheet,patient essentials,0,0,0,cotton,2022,0.4010999999999999,100,1,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,polyester,2022,0.1718999999999999,100,0,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,weaving polyester,2022,0.1718999999999999,100,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
pillow,patient essentials,0,0,0,polyester,2022,0.455,100,0,shanghai (china),shanghai (china),felixstowe,wipe clean,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
pillow case,patient essentials,0,0,0,cotton,2022,0.0832999999999999,100,1,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,polyester,2022,0.0356999999999999,100,0,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,weaving polyester,2022,0.0356999999999999,100,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
thrombo–embolus deterrents,patient essentials,0,0,0,polyester,2022,0.035,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,polyurethane,2022,0.006,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.003,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.041,1,0,shanghai (china),0,0,0,0,0,0,blow moulding,2022,0.003,1,0,shanghai (china),0,0,0,0,0,0,paper,2022,0.04,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0
tape measure,patient essentials,0,0,0,paper,2022,0.001,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.005,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.005,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
wheelchair,patient essentials,0,0,0,steel,2022,23.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,working with steel,2022,23.0,10000,0,shanghai (china),0,0,0,0,0,0,polypropylene,2022,2.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,rubber,2022,2.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,2.5,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
